# Ranked static MoE experts: layer expert miss_count access_count bytes
# budget_mib=8192 selected=4491 phase=prefill selected_mib=8190.41 trace_avoidable_mib=23241270.70
26 226 3435 4610 1900544
39 201 3435 3826 2039808
35 9 3434 4092 1900544
8 4 3433 6064 1900544
22 9 3433 4921 1900544
2 173 3433 4229 1900544
20 121 3432 4458 1900544
29 86 3432 3631 1900544
3 108 3430 4420 1900544
15 48 3429 3871 1900544
2 238 3427 4675 1900544
0 39 3422 6238 1900544
2 13 3422 4577 1900544
39 146 3422 4522 2039808
18 108 3422 4073 1900544
19 44 3422 3665 1900544
13 155 3422 3589 1900544
22 157 3420 5736 1900544
31 130 3420 4304 1900544
22 161 3419 3768 1900544
4 149 3413 5876 1900544
39 209 3413 3690 2039808
39 100 3412 3777 2039808
0 83 3411 5598 1900544
39 219 3411 3902 2039808
0 250 3407 4250 1900544
24 221 3403 8978 1900544
33 94 3403 7514 1900544
31 201 3403 6158 1900544
32 199 3402 5654 1900544
17 115 3401 8051 1900544
2 57 3400 3809 1900544
0 223 3399 5531 1900544
1 221 3399 5071 1900544
0 209 3399 4477 1900544
34 164 3399 3677 2039808
39 83 3399 3542 2039808
0 123 3398 6435 1900544
3 91 3398 4677 1900544
22 17 3398 4657 1900544
32 175 3396 3714 1900544
